Campaign,App asset,App asset type,Conversions,Currency code,Cost,Installs,In-app actions,View-through conv.,Conv. rate,Conv. rate (install),Conv. rate (in-app action),Installs per (1000) impressions,Video played to 25%,Video played to 50%,Video played to 75%,Video played to 100%
IOS English EU,Use SLYNUMBER for Dating;https://www.youtube.com/watch?v=ySclVIFK-Cw,YouTube video,4,USD,24.43,2,2,0,0.57%,0.28%,0.28%,0.34,44.14%,35.64%,12.57%,7.82%
iOS Spanish,Utilice SLYNUMBER para las redes sociales;https://www.youtube.com/watch?v=OqEX9Xgm2FQ,YouTube video,279,USD,662.56,217,62,0,0.14%,0.11%,0.03%,0.28,56.32%,41.20%,25.24%,20.59%
Android Video Only,SLYNUMBER is the easiest way to add a second mobile number to your phone for dating app,Description,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Colombia venzuela,Descárgalo ahora,Headline,30,USD,144.61,27,3,0,8.33%,7.50%,0.83%,3.29,0,0,0,0
iOS Spanish,Descárgalo ahora,Headline,340,USD,1082.97,277,63,0,7.27%,5.93%,1.35%,2.73,0,0,0,0
iOS Video Only,SLYNUMBER is the easiest way to add a second mobile number to your phone,Description,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
Android Video Only,SLYNUMBER is the easiest way to add a second mobile number to your phone,Description,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English India,Use SLYNUMBER for Travel;https://www.youtube.com/watch?v=4hLsTNLcijI,YouTube video,1,USD,21.34,1,0,0,0.03%,0.03%,0.00%,0.05,49.00%,34.50%,17.48%,12.58%
iOS Video Only,SLYNUMBER personal finances,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Brazil,número para contas financeiras,Headline,0,USD,1.9,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
IOS English EU,SLYNUMBER is the easiest way to add a second mobile number to your phone for travel,Description,7,USD,29.46,5,2,0,13.21%,9.43%,3.77%,2.8,0,0,0,0
iOS Brazil,Use SLYNUMBER para mídias sociais;https://www.youtube.com/watch?v=ACMdFK7zqCI,YouTube video,0,USD,0.07,0,0,0,0.00%,0.00%,0.00%,0,26.79%,17.86%,12.50%,7.14%
iOS Dominica republic,Utilice SLYNUMBER para citas,Headline,1,USD,2.88,1,0,0,4.76%,4.76%,0.00%,0.81,0,0,0,0
IOS English SEA,Best second phone number app,Headline,69,USD,296.57,52,17,0,11.82%,8.90%,2.91%,4.6,0,0,0,0
IOS English EU,Use SLYNUMBER for social media,Headline,6,USD,15.01,4,2,0,24.00%,16.00%,8.00%,3.93,0,0,0,0
iOS Video Only,Use SLYNUMBER for travel,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
Android Video Only,Use SLYNUMBER for travel,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Video Only,Virtual Second Phone Number,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Brazil,SLYNUMBER para mídias sociais,Headline,0,USD,3.98,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
IOS English SEA,Keep Your Personal Number Private 🔒 | SLYNUMBER Second Line #Shorts;https://www.youtube.com/watch?v=FdW7M4iEtIk,YouTube video,2,USD,8.95,2,0,0,0.06%,0.06%,0.00%,0.21,41.72%,26.22%,13.82%,6.76%
iOS Video Only,Keep Your Personal Number Private 🔒 | SLYNUMBER Second Line #Shorts;https://www.youtube.com/watch?v=FdW7M4iEtIk,YouTube video,0,USD,1.33,0,0,0,0.00%,0.00%,0.00%,0,38.10%,19.84%,7.94%,0.79%
Android Video Only,SLYNUMBER - Your Second Mobile Number;https://www.youtube.com/watch?v=hl40-Rlk7gE,YouTube video,"3,029.00",USD,1500.17,"1,883.00","1,146.00",678,13.06%,8.12%,4.94%,19.79,85.84%,69.30%,50.05%,22.69%
iOS Dominica republic,Utilice SLYNUMBER para viajar,Headline,0,USD,3.31,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
iOS Mexico,Protege tu privacidad con SLYNUMBER. Obtén un número para verificar tus cuentas,Description,5,USD,33.22,4,1,0,7.25%,5.80%,1.45%,1.37,0,0,0,0
IOS English SEA,SLYNUMBER is the easiest way to add a second mobile number to your phone,Description,80,USD,327.51,59,21,0,7.96%,5.87%,2.09%,2.39,0,0,0,0
Android Video Only,Download now,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Video Only,SLYNUMBER is the easiest way to add a second mobile number to your phone for financing app,Description,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Spanish,Utilice SLYNUMBER para cuentas financieras;https://www.youtube.com/watch?v=MoO7GXr4KP4,YouTube video,48,USD,140.28,37,11,0,0.10%,0.07%,0.02%,0.11,38.20%,24.77%,14.54%,11.56%
Android Video Only,placeholder -1,Description,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Colombia venzuela,Obtén un segundo número y activa los servicios financieros de Estados Unidos,Description,10,USD,29.29,9,1,0,4.81%,4.33%,0.48%,1.39,0,0,0,0
iOS Mexico,SLYNUMBER para la privacidad,Headline,4,USD,16.44,4,0,0,12.50%,12.50%,0.00%,4.66,0,0,0,0
iOS Mexico,usando SLYNUMBER. Obtén un número real para comunicarte con tus clientes,Description,4,USD,10.36,4,0,0,10.81%,10.81%,0.00%,3.21,0,0,0,0
iOS Colombia venzuela,Utilice SLYNUMBER para la privacidad;https://www.youtube.com/watch?v=_T7S1P9qjPQ,YouTube video,1,USD,11.6,1,0,0,0.04%,0.04%,0.00%,0.16,72.48%,61.21%,41.98%,36.74%
iOS Brazil,Use SLYNUMBER para privacidade;https://www.youtube.com/watch?v=FGp5ny5v-_Y,YouTube video,1,USD,2.71,1,0,0,0.21%,0.21%,0.00%,0.26,26.84%,15.67%,9.20%,6.90%
IOS English SEA,Get an ESIM that works everywhere with local rates,Description,28,USD,126.96,23,5,0,12.50%,10.27%,2.23%,4.73,0,0,0,0
IOS English India,Use SLYNUMBER for Privacy;https://www.youtube.com/watch?v=ZmfWe56U5rA,YouTube video,1,USD,10.11,1,0,0,0.02%,0.02%,0.00%,0.03,29.62%,16.55%,11.12%,9.03%
IOS English India,Best Second Number App,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Brazil,Use SLYNUMBER para vender online;https://www.youtube.com/watch?v=-v3nPXHK08w,YouTube video,1,USD,2.57,1,0,0,0.16%,0.16%,0.00%,0.27,31.72%,20.54%,12.34%,8.68%
IOS English EU,One Number Worldwide 🌐📲 | SLYNUMBER eSIM + 2FA Fix #Shorts;https://www.youtube.com/watch?v=33xTMddnC5c,YouTube video,0,USD,2.58,0,0,0,0.00%,0.00%,0.00%,0,34.12%,18.47%,10.41%,7.12%
IOS English India,Use SLYNUMBER for Selling Online;https://www.youtube.com/watch?v=pN0vH_ojwUI,YouTube video,0,USD,2.71,0,0,0,0.00%,0.00%,0.00%,0,85.02%,75.99%,62.80%,56.25%
iOS Video Only,Use SLYNUMBER for Financial Accounts;https://www.youtube.com/watch?v=YDQRc-oFT98,YouTube video,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English India,SLYNUMBER - Your Second Mobile Number;https://www.youtube.com/watch?v=9DM-0s3JQM8,YouTube video,0,USD,0.04,0,0,0,0.00%,0.00%,0.00%,0,36.84%,36.84%,26.32%,10.53%
iOS Brazil,Use SLYNUMBER para contas financeiras;https://www.youtube.com/watch?v=zvoYTIo18cI,YouTube video,0,USD,0.03,0,0,0,0.00%,0.00%,0.00%,0,55.77%,38.46%,13.46%,11.54%
Android Video Only,SLYNUMBER is the easiest way to add a second mobile number to your phone for social media.,Description,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Video Only,SLYNUMBER is the easiest way to add a second mobile number to your phone for social media.,Description,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Video Only,Use SLYNUMBER for Social Media;https://www.youtube.com/watch?v=xFWKb5uQEfA,YouTube video,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English India,Use SLYNUMBER for Social Media;https://www.youtube.com/watch?v=xFWKb5uQEfA,YouTube video,0,USD,1.5,0,0,0,0.00%,0.00%,0.00%,0,33.17%,19.85%,11.65%,8.83%
IOS English India,SLYNUMBER is the easiest way to add a second mobile number to your phone for travel,Description,0,USD,0.19,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
Android Video Only,SLYNUMBER is the easiest way to add a second mobile number to your phone for travel,Description,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English SEA,One Number Worldwide 🌐📲 | SLYNUMBER eSIM + 2FA Fix #Shorts;https://www.youtube.com/watch?v=33xTMddnC5c,YouTube video,3,USD,11.91,3,0,0,0.10%,0.10%,0.00%,0.23,41.60%,24.87%,17.91%,13.44%
IOS English EU,Ditch the Second Phone 📱💼 | SLYNUMBER Work Line on One Device #Shorts;https://www.youtube.com/watch?v=i8lKA7cv_sg,YouTube video,1,USD,4.16,1,0,0,0.75%,0.75%,0.00%,0.98,55.44%,45.15%,29.71%,12.16%
IOS English SEA,Virtual Second Phone Number,Headline,18,USD,72.74,17,1,0,12.59%,11.89%,0.70%,5.12,0,0,0,0
iOS Video Only,Download now,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Colombia venzuela,usando SLYNUMBER. Obtén un número real para comunicarte con tus clientes,Description,3,USD,11.14,3,0,0,9.68%,9.68%,0.00%,3.26,0,0,0,0
IOS English EU,Travel Smarter: Get Bank 2FA Anywhere ✈️📲 | SLYNUMBER #Shorts;https://www.youtube.com/watch?v=TuuOY2Z_h8Q,YouTube video,0,USD,0.56,0,0,0,0.00%,0.00%,0.00%,0,63.41%,34.96%,32.52%,25.20%
IOS English SEA,SLYNUMBER is a virtual mobile number app that provides real phone numbers.,Description,35,USD,153.07,28,7,0,11.99%,9.59%,2.40%,6.78,0,0,0,0
IOS English EU,SLYNUMBER - Your Second Mobile Number;https://www.youtube.com/watch?v=m0ux_1CpEYk,YouTube video,225,USD,1090.66,178,47,0,0.48%,0.38%,0.10%,1.45,39.55%,26.90%,15.71%,5.21%
iOS Spanish,SLYNUMBER para vender en línea,Headline,27,USD,70.88,24,3,0,2.56%,2.27%,0.28%,0.88,0,0,0,0
IOS English EU,Solo Female Travel Hack 🌍📶 | Global Data + Work Number in SLYNUMBER #Shorts;https://www.youtube.com/watch?v=bIBxAwpZSsA,YouTube video,0,USD,1.5,0,0,0,0.00%,0.00%,0.00%,0,54.50%,42.65%,26.07%,20.38%
IOS English India,SLYNUMBER - Your Second Mobile Number;https://www.youtube.com/watch?v=IttwrhMctR8,YouTube video,0,USD,0.22,0,0,0,0.00%,0.00%,0.00%,0,29.41%,16.48%,11.59%,9.10%
IOS English EU,Use SLYNUMBER for Travel;https://www.youtube.com/watch?v=waJjb7qDSiI,YouTube video,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English SEA,SLYNUMBER - Your Second Mobile Number;https://www.youtube.com/watch?v=hl40-Rlk7gE,YouTube video,305,USD,927.2,247,58,0,0.35%,0.28%,0.07%,0.37,67.90%,53.22%,34.68%,12.63%
IOS English EU,Use SLYNUMBER for Privacy;https://www.youtube.com/watch?v=xoxwsWk3-2Y,YouTube video,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Video Only,Turn Off Work After Hours 📵 | SLYNUMBER Saves Your Sanity #shorts;https://www.youtube.com/watch?v=M66y_k57ryc,YouTube video,1,USD,2.59,1,0,0,1.39%,1.39%,0.00%,7.58,66.14%,57.48%,35.43%,25.20%
IOS English India,Turn Off Work After Hours 📵 | SLYNUMBER Saves Your Sanity #shorts;https://www.youtube.com/watch?v=M66y_k57ryc,YouTube video,3,USD,51.58,3,0,0,0.03%,0.03%,0.00%,0.2,89.04%,82.75%,51.81%,12.24%
iOS Dominica republic,Utilice SLYNUMBER para citas;https://www.youtube.com/watch?v=kT2L4Ohr_jY,YouTube video,3,USD,8.21,3,0,0,0.27%,0.27%,0.00%,1.27,72.59%,63.78%,51.01%,46.11%
iOS Dominica republic,Tu privacidad es lo más importante SLYNUMBER puedes mantener tu número personal en secreto,Description,0,USD,7.11,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
IOS English SEA,Use SLYNUMBER for Social Media;https://www.youtube.com/watch?v=xFWKb5uQEfA,YouTube video,32,USD,99.31,23,9,0,0.15%,0.11%,0.04%,0.16,41.81%,26.32%,14.13%,10.74%
iOS Video Only,SLYNUMBER for personal banking,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Video Only,Use SLYNUMBER for Financial Accounts;https://www.youtube.com/watch?v=UTmS2k37pk0,YouTube video,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
Android Video Only,SLYNUMBER - Your Second Mobile Number;https://www.youtube.com/watch?v=IttwrhMctR8,YouTube video,"1,698.00",USD,856.85,971,727,430,14.17%,8.10%,6.06%,19.01,79.84%,64.66%,46.17%,22.67%
IOS English SEA,Use SLYNUMBER for Selling Online;https://www.youtube.com/watch?v=pN0vH_ojwUI,YouTube video,19,USD,51.4,16,3,0,0.27%,0.23%,0.04%,0.79,70.56%,47.30%,34.18%,29.03%
IOS English India,SLYNUMBER is the easiest way to add a second mobile number to your phone for financing app,Description,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Video Only,Travel Smarter: Get Bank 2FA Anywhere ✈️📲 | SLYNUMBER #Shorts;https://www.youtube.com/watch?v=TuuOY2Z_h8Q,YouTube video,38,USD,170.26,29,9,0,0.37%,0.28%,0.09%,2.43,92.38%,87.41%,85.52%,72.58%
IOS English SEA,Travel Hack: Global Data + U.S. Number in ONE App ✈️🌍 | SLYNUMBER #Shorts;https://www.youtube.com/watch?v=lPcQB1Koqzg,YouTube video,7,USD,21.09,5,2,0,0.08%,0.06%,0.02%,0.46,88.20%,83.04%,79.93%,63.60%
iOS Colombia venzuela,Utilice SLYNUMBER para cuentas financieras;https://www.youtube.com/watch?v=MoO7GXr4KP4,YouTube video,0,USD,2.02,0,0,0,0.00%,0.00%,0.00%,0,56.05%,36.70%,25.19%,21.15%
iOS Colombia venzuela,Utilice SLYNUMBER para vender en línea;https://www.youtube.com/watch?v=cVHrKxd71Hw,YouTube video,6,USD,18.57,5,1,0,0.12%,0.10%,0.02%,0.26,51.77%,33.00%,21.23%,16.12%
iOS Dominica republic,Utilice SLYNUMBER para vender en línea;https://www.youtube.com/watch?v=cVHrKxd71Hw,YouTube video,0,USD,4.72,0,0,0,0.00%,0.00%,0.00%,0,43.22%,28.00%,19.10%,15.33%
iOS Spanish,Obtén un segundo número y activa los servicios financieros de Estados Unidos,Description,107,USD,281.97,89,18,0,6.86%,5.71%,1.15%,3.06,0,0,0,0
iOS Video Only,SLYNUMBER - Your Second Mobile Number;https://www.youtube.com/watch?v=m0ux_1CpEYk,YouTube video,781,USD,4660.84,603,178,0,0.65%,0.50%,0.15%,1.29,26.06%,16.62%,10.63%,5.88%
iOS Dominica republic,Obtén un segundo número y activa los servicios financieros de Estados Unidos,Description,2,USD,12.69,2,0,0,3.13%,3.13%,0.00%,0.95,0,0,0,0
iOS Video Only,Use SLYNUMBER for Dating;https://www.youtube.com/watch?v=ySclVIFK-Cw,YouTube video,3,USD,22.76,2,1,0,0.54%,0.36%,0.18%,0.76,46.79%,39.12%,20.70%,15.50%
iOS Spanish,Utilice SLYNUMBER para citas;https://www.youtube.com/watch?v=kT2L4Ohr_jY,YouTube video,217,USD,571.43,180,37,0,0.88%,0.73%,0.15%,1.93,57.55%,41.62%,23.96%,17.92%
IOS English EU,SLYNUMBER is the easiest way to add a second mobile number to your phone for dating,Description,1,USD,2.02,1,0,0,14.29%,14.29%,0.00%,3.36,0,0,0,0
iOS Spanish,Utilice SLYNUMBER para citas;https://www.youtube.com/watch?v=ZMG_HcEbP28,YouTube video,563,USD,1253.87,435,128,0,0.50%,0.39%,0.11%,1.03,70.05%,57.17%,27.31%,20.73%
iOS Dominica republic,Utilice SLYNUMBER para las redes sociales;https://www.youtube.com/watch?v=OqEX9Xgm2FQ,YouTube video,5,USD,21.58,5,0,0,0.09%,0.09%,0.00%,0.37,71.24%,61.92%,45.54%,39.79%
iOS Video Only,Use SLYNUMBER for privacy,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English EU,Use SLYNUMBER for privacy,Headline,7,USD,42.13,7,0,0,8.75%,8.75%,0.00%,2.62,0,0,0,0
iOS Mexico,SLYNUMBER para redes sociales,Headline,2,USD,13.47,2,0,0,6.45%,6.45%,0.00%,2.38,0,0,0,0
IOS English EU,SLYNUMBER for personal banking,Headline,1,USD,3.17,1,0,0,12.50%,12.50%,0.00%,3.21,0,0,0,0
iOS Spanish,Utilice SLYNUMBER para vender en línea;https://www.youtube.com/watch?v=EjrSHOr-qqY,YouTube video,235,USD,649.95,190,45,0,0.15%,0.12%,0.03%,0.15,38.03%,25.07%,13.18%,9.33%
Android Video Only,SLYNUMBER is the easiest way to add a second mobile number to your phone for financing app,Description,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Video Only,Ditch the Second Phone 📱💼 | SLYNUMBER Work Line on One Device #Shorts;https://www.youtube.com/watch?v=i8lKA7cv_sg,YouTube video,1,USD,12.7,1,0,0,0.20%,0.20%,0.00%,0.43,49.95%,32.40%,24.92%,19.02%
Android Video Only,Use SLYNUMBER for Selling Online;https://www.youtube.com/watch?v=pN0vH_ojwUI,YouTube video,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English EU,Best second phone number app,Headline,307,USD,1132.85,241,66,0,18.70%,14.68%,4.02%,6.84,0,0,0,0
iOS Mexico,Utilice SLYNUMBER para citas,Headline,0,USD,2.74,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
IOS English EU,Delete me,Description,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English EU,Use SLYNUMBER for Selling Online;https://www.youtube.com/watch?v=RXxereD46r0,YouTube video,56,USD,164.28,42,14,0,2.47%,1.85%,0.62%,4.09,52.53%,36.08%,17.14%,11.39%
iOS Spanish,usando SLYNUMBER. Obtén un número real para comunicarte con tus clientes,Description,60,USD,175.43,52,8,0,4.37%,3.78%,0.58%,1.42,0,0,0,0
Android Video Only,Use SLYNUMBER for Dating;https://www.youtube.com/watch?v=ySclVIFK-Cw,YouTube video,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English EU,SLYNUMBER is the easiest way to add a second mobile number to your phone for dating app,Description,4,USD,11.09,3,1,0,19.05%,14.29%,4.76%,4.45,0,0,0,0
iOS Brazil,segundo número de telefone,Headline,0,USD,18.25,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
IOS English EU,SLYNUMBER - Your Second Mobile Number;https://www.youtube.com/watch?v=hl40-Rlk7gE,YouTube video,75,USD,240.51,65,10,0,1.73%,1.50%,0.23%,1.24,66.47%,56.79%,37.33%,15.71%
iOS Colombia venzuela,SLYNUMBER para vender en línea,Headline,1,USD,3.55,1,0,0,5.56%,5.56%,0.00%,2.95,0,0,0,0
IOS English SEA,SLYNUMBER is the easiest way to add a second mobile number to your phone for travel,Description,6,USD,16.43,5,1,0,1.93%,1.61%,0.32%,0.41,0,0,0,0
Android Video Only,Use SLYNUMBER for Financial Accounts;https://www.youtube.com/watch?v=UTmS2k37pk0,YouTube video,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English SEA,SLYNUMBER for personal banking,Headline,0,USD,1.1,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
iOS Dominica republic,Utilice SLYNUMBER para las redes sociales;https://www.youtube.com/watch?v=XdECuygDuYk,YouTube video,0,USD,3.26,0,0,0,0.00%,0.00%,0.00%,0,55.42%,42.65%,28.22%,23.44%
IOS English EU,Delete me,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English EU,Travel Hack: Global Data + U.S. Number in ONE App ✈️🌍 | SLYNUMBER #Shorts;https://www.youtube.com/watch?v=lPcQB1Koqzg,YouTube video,0,USD,1.33,0,0,0,0.00%,0.00%,0.00%,0,60.71%,47.86%,42.86%,31.43%
Android Video Only,SLYNUMBER - Your Second Mobile Number;https://www.youtube.com/watch?v=m0ux_1CpEYk,YouTube video,"4,013.00",USD,2122.36,"2,466.00","1,547.00",168,6.51%,4.00%,2.51%,21.12,58.68%,45.33%,19.95%,8.24%
IOS English SEA,SLYNUMBER - Your Second Mobile Number;https://www.youtube.com/watch?v=m0ux_1CpEYk,YouTube video,"1,338.00",USD,4333.5,"1,119.00",219,0,0.10%,0.08%,0.02%,0.32,42.31%,33.38%,17.96%,5.14%
iOS Video Only,SLYNUMBER for dating,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Spanish,Utilice SLYNUMBER para la privacidad;https://www.youtube.com/watch?v=_T7S1P9qjPQ,YouTube video,333,USD,802.15,271,62,0,0.32%,0.26%,0.06%,0.84,72.49%,61.11%,34.07%,27.49%
iOS Video Only,Business Telephone Number,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
Android Video Only,SLYNUMBER is the easiest way to add a second mobile number to your phone for dating,Description,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English EU,Use SLYNUMBER for Social Media;https://www.youtube.com/watch?v=sipIVX0vSLk,YouTube video,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Video Only,placeholder -2,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Mexico,Utilice SLYNUMBER para cuentas financieras;https://www.youtube.com/watch?v=MoO7GXr4KP4,YouTube video,17,USD,54.83,14,3,0,0.18%,0.15%,0.03%,0.5,57.92%,49.12%,33.39%,28.42%
IOS English EU,Keep Your Personal Number Private 🔒 | SLYNUMBER Second Line #Shorts;https://www.youtube.com/watch?v=FdW7M4iEtIk,YouTube video,0,USD,5.41,0,0,0,0.00%,0.00%,0.00%,0,54.10%,22.56%,10.51%,5.51%
iOS Video Only,Placeholder -1,Description,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Colombia venzuela,Utilice SLYNUMBER para citas;https://www.youtube.com/watch?v=ZMG_HcEbP28,YouTube video,0,USD,1.32,0,0,0,0.00%,0.00%,0.00%,0,61.00%,49.35%,30.42%,27.51%
IOS English India,SLYNUMBER is the easiest way to add a second mobile number to your phone for social media.,Description,0,USD,0.02,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
iOS Spanish,SLYNUMBER para redes sociales,Headline,40,USD,108.45,33,7,0,5.76%,4.76%,1.01%,2.83,0,0,0,0
IOS English India,Get a virtual phone number that actually works on your phone.,Description,0,USD,0.03,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
iOS Brazil,Use SLYNUMBER para privacidade;https://www.youtube.com/watch?v=WvvxRoUYp20,YouTube video,2,USD,2.85,2,0,0,0.36%,0.36%,0.00%,1.53,64.05%,55.26%,42.24%,34.91%
IOS English India,Use SLYNUMBER to sell online,Headline,0,USD,0.19,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
iOS Spanish,Protege tu privacidad con SLYNUMBER. Obtén un número para verificar tus cuentas,Description,172,USD,596.71,138,34,0,11.32%,9.08%,2.24%,4.27,0,0,0,0
iOS Video Only,Use SLYNUMBER for Selling Online;https://www.youtube.com/watch?v=pN0vH_ojwUI,YouTube video,3,USD,27.6,1,2,0,0.33%,0.11%,0.22%,0.23,41.23%,27.34%,18.77%,14.30%
iOS Dominica republic,Disfruta tus citas con mayor seguridad y tranquilidad usando SLYNUMBER.,Description,5,USD,6.55,4,1,0,17.24%,13.79%,3.45%,2.75,0,0,0,0
iOS Spanish,Disfruta tus citas con mayor seguridad y tranquilidad usando SLYNUMBER.,Description,36,USD,130.74,29,7,0,3.36%,2.71%,0.65%,1.33,0,0,0,0
iOS Brazil,Use SLYNUMBER para vender online;https://www.youtube.com/watch?v=rjIAzaZLLkY,YouTube video,0,USD,0.3,0,0,0,0.00%,0.00%,0.00%,0,52.82%,35.92%,28.17%,23.94%
iOS Video Only,placeholder -1,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English EU,Virtual Second Phone Number,Headline,49,USD,173.95,40,9,0,18.22%,14.87%,3.35%,5.5,0,0,0,0
iOS Mexico,Utilice SLYNUMBER para vender en línea;https://www.youtube.com/watch?v=cVHrKxd71Hw,YouTube video,6,USD,18.01,5,1,0,0.35%,0.29%,0.06%,0.71,42.74%,29.88%,20.42%,16.52%
iOS Colombia venzuela,Utilice SLYNUMBER para cuentas financieras;https://www.youtube.com/watch?v=EUx599IhflI,YouTube video,2,USD,3.97,2,0,0,0.34%,0.34%,0.00%,0.86,54.77%,31.63%,18.98%,13.91%
iOS Brazil,Use SLYNUMBER para viagens;https://www.youtube.com/watch?v=8YM-BRgDk4Y,YouTube video,0,USD,0.73,0,0,0,0.00%,0.00%,0.00%,0,47.12%,34.21%,23.73%,16.75%
IOS English EU,Business Telephone Number,Headline,0,USD,2.01,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
iOS Video Only,Use SLYNUMBER for Selling Online;https://www.youtube.com/watch?v=RXxereD46r0,YouTube video,3,USD,7.11,2,1,0,1.27%,0.85%,0.42%,1.88,42.28%,31.61%,20.19%,15.12%
IOS English SEA,Use SLYNUMBER for Dating;https://www.youtube.com/watch?v=ySclVIFK-Cw,YouTube video,4,USD,32.73,3,1,0,0.07%,0.05%,0.02%,0.09,40.16%,28.66%,15.57%,11.93%
iOS Video Only,"One App, No SIM Cards 🌍📶 | SLYNUMBER Travel Hack #Shorts;https://www.youtube.com/watch?v=kngaqEP58Hg",YouTube video,0,USD,2.03,0,0,0,0.00%,0.00%,0.00%,0,73.21%,68.75%,65.18%,58.93%
Android Video Only,Use SLYNUMBER for social media,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
Android Video Only,remove me,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Colombia venzuela,activar cuentas financieras,Headline,3,USD,11,3,0,0,1.85%,1.85%,0.00%,0.49,0,0,0,0
Android Video Only,Use SLYNUMBER for privacy,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Colombia venzuela,Protege tu privacidad con SLYNUMBER. Obtén un número para verificar tus cuentas,Description,17,USD,93.06,15,2,0,10.00%,8.82%,1.18%,5.22,0,0,0,0
iOS Video Only,Use SLYNUMBER to sell online,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
Android Video Only,Use SLYNUMBER for Social Media;https://www.youtube.com/watch?v=xFWKb5uQEfA,YouTube video,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English EU,Download now,Headline,8,USD,28.95,8,0,0,12.50%,12.50%,0.00%,4.03,0,0,0,0
IOS English SEA,Download now,Headline,26,USD,53.8,21,5,0,2.21%,1.78%,0.42%,0.5,0,0,0,0
iOS Video Only,Use SLYNUMBER for Travel;https://www.youtube.com/watch?v=4hLsTNLcijI,YouTube video,14,USD,78.14,11,3,0,0.12%,0.10%,0.03%,0.42,64.84%,50.36%,40.28%,33.12%
Android Video Only,Use SLYNUMBER for Travel;https://www.youtube.com/watch?v=4hLsTNLcijI,YouTube video,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Video Only,placeholder -1,Description,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
Android Video Only,Use SLYNUMBER for Privacy;https://www.youtube.com/watch?v=ZmfWe56U5rA,YouTube video,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English SEA,SLYNUMBER is the easiest way to add a second mobile number to your phone for dating,Description,6,USD,24.25,5,1,0,6.98%,5.81%,1.16%,1.95,0,0,0,0
