Campaign,Campaign state,Campaign type,Country/Territory (User location),Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conversions,Cost / conv.,Conv. rate
Performance Max,Enabled,Performance Max,India,192,"1,722",11.15%,USD,1.1,211.83,0,0,0.00%
IOS English EU,Enabled,App,Sweden,186,"5,486",3.39%,USD,0.41,76.63,27,2.84,3.23%
IOS English EU,Enabled,App,Slovenia,184,"3,500",5.26%,USD,0.19,35.37,7,5.05,0.61%
IOS English SEA,Enabled,App,South Korea,173,"1,434",12.06%,USD,0.06,10.58,1,10.58,0.17%
IOS English EU,Enabled,App,Norway,172,"2,486",6.92%,USD,0.37,64.35,17,3.79,2.70%
Keywords,Enabled,Search,Netherlands,156,"2,320",6.72%,USD,1.42,221.43,1,221.43,0.64%
IOS English SEA,Enabled,App,Taiwan,121,"2,216",5.46%,USD,0.1,12.52,6,2.09,0.82%
Performance Max,Enabled,Performance Max,Pakistan,120,"1,338",8.97%,USD,0.98,117.01,3,39,2.50%
IOS English EU,Enabled,App,Ireland,118,"2,501",4.72%,USD,0.46,53.99,10,5.4,1.71%
Keywords,Enabled,Search,Serbia,117,"1,512",7.74%,USD,0.99,115.43,1,115.43,0.85%
IOS English EU,Enabled,App,Finland,110,"1,767",6.23%,USD,0.29,32.34,4,8.08,1.22%
Keywords,Enabled,Search,Belgium,108,"1,614",6.69%,USD,1.41,152.5,0,0,0.00%
IOS English EU,Enabled,App,Nigeria,105,"1,264",8.31%,USD,0.67,70.61,17,4.15,16.19%
Performance Max,Enabled,Performance Max,Serbia,87,"3,339",2.61%,USD,0.6,52.56,1,52.56,0.30%
iOS Video Only,Enabled,App,India,85,"11,052",0.77%,USD,0.1,8.4,2,4.2,0.08%
Performance Max,Enabled,Performance Max,Italy,77,"1,190",6.47%,USD,1.45,111.82,1,111.82,1.09%
Performance Max,Enabled,Performance Max,United Kingdom,77,"1,584",4.86%,USD,1.57,120.67,3,40.22,2.08%
IOS English EU,Enabled,App,Austria,77,"1,376",5.60%,USD,0.46,35.47,15,2.36,6.52%
Keywords,Enabled,Search,Sweden,76,"1,231",6.17%,USD,1.49,113.26,1,113.26,1.32%
Performance Max,Enabled,Performance Max,France,76,"1,329",5.72%,USD,1.82,138.67,1,138.67,1.10%
Keywords,Enabled,Search,Croatia,74,767,9.65%,USD,0.98,72.25,2,36.12,2.70%
Performance Max,Enabled,Performance Max,Australia,73,"1,156",6.31%,USD,1.59,116.25,0,0,0.00%
Keywords,Enabled,Search,Czechia,70,"1,251",5.60%,USD,0.82,57.57,0,0,0.00%
IOS English SEA,Enabled,App,Singapore,70,"2,152",3.25%,USD,0.24,16.63,2,8.31,0.43%
Keywords,Enabled,Search,Slovakia,69,803,8.59%,USD,0.85,58.9,1,58.9,1.45%
Keywords,Enabled,Search,Norway,66,781,8.45%,USD,1.75,115.45,1,115.45,1.52%
Performance Max,Enabled,Performance Max,Bangladesh,66,656,10.06%,USD,0.59,38.78,0,0,0.00%
IOS English EU,Enabled,App,Denmark,63,"3,106",2.03%,USD,0.61,38.38,13,2.95,1.47%
Keywords,Enabled,Search,Ireland,62,"1,140",5.44%,USD,1.83,113.35,0,0,0.00%
IOS English EU,Enabled,App,Switzerland,60,"1,246",4.82%,USD,0.51,30.79,7,4.4,2.88%
Keywords,Enabled,Search,Switzerland,58,741,7.83%,USD,2.27,131.81,1,131.81,1.72%
iOS Video Only,Enabled,App,Canada,58,"9,145",0.63%,USD,0.79,45.96,9,5.11,0.42%
Keywords,Enabled,Search,Austria,57,701,8.13%,USD,1.63,93.14,0,0,0.00%
Performance Max,Enabled,Performance Max,Germany,55,"1,190",4.62%,USD,1.46,80.54,0,0,0.00%
Keywords,Enabled,Search,Slovenia,52,679,7.66%,USD,0.87,45.15,0,0,0.00%
iOS Spanish,Enabled,App,French Guiana,50,"1,546",3.23%,USD,0.07,3.72,4,0.93,0.64%
IOS English EU,Enabled,App,Hungary,49,595,8.24%,USD,0.21,10.4,1,10.4,0.70%
IOS English EU,Enabled,App,Pakistan,48,740,6.49%,USD,0.46,21.96,6,3.66,12.50%
Performance Max,Enabled,Performance Max,Ghana,47,533,8.82%,USD,0.58,27.28,0,0,0.00%
Performance Max,Enabled,Performance Max,Jamaica,47,390,12.05%,USD,0.71,33.21,2,16.61,4.26%
Performance Max,Enabled,Performance Max,Netherlands,47,"1,111",4.23%,USD,1.37,64.4,0,0,0.00%
IOS English EU,Enabled,App,India,45,540,8.33%,USD,0.65,29.15,5,5.83,11.11%
