Campaign,Campaign state,Campaign type,Country/Territory (User location),Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conversions,Cost / conv.,Conv. rate
Performance Max,Enabled,Performance Max,Honduras,2,26,7.69%,USD,2.04,4.07,0,0,0.00%
Performance Max,Enabled,Performance Max,Iran,2,30,6.67%,USD,0.74,1.48,0,0,0.00%
Performance Max,Enabled,Performance Max,Kuwait,2,41,4.88%,USD,1.56,3.12,0,0,0.00%
Performance Max,Enabled,Performance Max,New Caledonia,2,18,11.11%,USD,0.54,1.08,0,0,0.00%
Performance Max,Enabled,Performance Max,Palestine,2,24,8.33%,USD,1.15,2.3,0,0,0.00%
Performance Max,Enabled,Performance Max,Syria,2,20,10.00%,USD,0.74,1.47,0,0,0.00%
Performance Max,Enabled,Performance Max,The Bahamas,2,66,3.03%,USD,0.28,0.55,0,0,0.00%
Performance Max,Enabled,Performance Max,Turks and Caicos Islands,2,9,22.22%,USD,0.38,0.76,0,0,0.00%
Performance Max,Enabled,Performance Max,Uruguay,2,22,9.09%,USD,0.95,1.89,0,0,0.00%
Performance Max,Enabled,Performance Max,Western Sahara,2,5,40.00%,USD,0.06,0.13,0,0,0.00%
IOS English EU,Enabled,App,Albania,2,47,4.26%,USD,0.36,0.71,0,0,0.00%
IOS English EU,Enabled,App,Belarus,2,13,15.38%,USD,0.93,1.86,0,0,0.00%
IOS English EU,Enabled,App,Canada,2,56,3.57%,USD,1.62,3.25,0,0,0.00%
IOS English EU,Enabled,App,Estonia,2,52,3.85%,USD,0.55,1.1,0,0,0.00%
IOS English EU,Enabled,App,Ethiopia,2,7,28.57%,USD,0.86,1.71,2,0.86,100.00%
IOS English EU,Enabled,App,Japan,2,22,9.09%,USD,0.76,1.51,0,0,0.00%
IOS English EU,Enabled,App,Jordan,2,21,9.52%,USD,1.33,2.66,1,2.66,50.00%
IOS English EU,Enabled,App,Kuwait,2,12,16.67%,USD,0.8,1.61,0,0,0.00%
IOS English EU,Enabled,App,Malta,2,9,22.22%,USD,1.11,2.21,0,0,0.00%
IOS English EU,Enabled,App,Mongolia,2,7,28.57%,USD,0.8,1.6,0,0,0.00%
IOS English EU,Enabled,App,Myanmar (Burma),2,8,25.00%,USD,0.29,0.57,0,0,0.00%
IOS English EU,Enabled,App,Nepal,2,25,8.00%,USD,0.31,0.62,0,0,0.00%
IOS English EU,Enabled,App,North Macedonia,2,26,7.69%,USD,0.74,1.48,1,1.48,50.00%
IOS English EU,Enabled,App,Portugal,2,42,4.76%,USD,0.79,1.58,0,0,0.00%
IOS English EU,Enabled,App,Qatar,2,27,7.41%,USD,0.82,1.63,0,0,0.00%
IOS English EU,Enabled,App,Senegal,2,32,6.25%,USD,0.78,1.55,0,0,0.00%
IOS English EU,Enabled,App,Sri Lanka,2,26,7.69%,USD,0.42,0.83,0,0,0.00%
IOS English EU,Enabled,App,Suriname,2,4,50.00%,USD,0.65,1.29,1,1.29,50.00%
IOS English EU,Enabled,App,Taiwan,2,17,11.76%,USD,0.75,1.49,0,0,0.00%
IOS English EU,Enabled,App,Thailand,2,48,4.17%,USD,0.66,1.32,0,0,0.00%
IOS English EU,Enabled,App,Uzbekistan,2,14,14.29%,USD,0.48,0.97,0,0,0.00%
IOS English EU,Enabled,App,Vietnam,2,40,5.00%,USD,0.56,1.11,0,0,0.00%
IOS English EU,Enabled,App,Zimbabwe,2,14,14.29%,USD,0.42,0.84,1,0.84,50.00%
iOS Video Only,Enabled,App,Australia,1,16,6.25%,USD,0.29,0.29,0,0,0.00%
iOS Video Only,Enabled,App,Colombia,1,65,1.54%,USD,0.03,0.03,0,0,0.00%
iOS Video Only,Enabled,App,Saudi Arabia,1,392,0.26%,USD,1.01,1.01,0,0,0.00%
iOS Video Only,Enabled,App,Venezuela,1,23,4.35%,USD,0.02,0.02,0,0,0.00%
Competitive keywords,Enabled,Search,Azerbaijan,1,2,50.00%,USD,0.55,0.55,0,0,0.00%
Competitive keywords,Enabled,Search,Barbados,1,1,100.00%,USD,5.27,5.27,0,0,0.00%
Competitive keywords,Enabled,Search,Brazil,1,48,2.08%,USD,1.27,1.27,0,0,0.00%
Competitive keywords,Enabled,Search,Bulgaria,1,5,20.00%,USD,1,1,0,0,0.00%
Competitive keywords,Enabled,Search,Cameroon,1,27,3.70%,USD,1.16,1.16,0,0,0.00%
Competitive keywords,Enabled,Search,Cote d'Ivoire,1,3,33.33%,USD,0.47,0.47,0,0,0.00%
Competitive keywords,Enabled,Search,Denmark,1,7,14.29%,USD,17.22,17.22,0,0,0.00%
Competitive keywords,Enabled,Search,Egypt,1,16,6.25%,USD,3.69,3.69,0,0,0.00%
Competitive keywords,Enabled,Search,France,1,13,7.69%,USD,1.24,1.24,0,0,0.00%
Competitive keywords,Enabled,Search,Germany,1,25,4.00%,USD,1.09,1.09,0,0,0.00%
Competitive keywords,Enabled,Search,Guyana,1,10,10.00%,USD,18.99,18.99,0,0,0.00%
Competitive keywords,Enabled,Search,Indonesia,1,16,6.25%,USD,5.1,5.1,0,0,0.00%
Competitive keywords,Enabled,Search,Italy,1,14,7.14%,USD,0.78,0.78,0,0,0.00%
Competitive keywords,Enabled,Search,Jordan,1,3,33.33%,USD,0.28,0.28,0,0,0.00%
Competitive keywords,Enabled,Search,Laos,1,5,20.00%,USD,0.35,0.35,0,0,0.00%
Competitive keywords,Enabled,Search,Micronesia,1,2,50.00%,USD,1.67,1.67,0,0,0.00%
Competitive keywords,Enabled,Search,Philippines,1,49,2.04%,USD,4.33,4.33,0,0,0.00%
Competitive keywords,Enabled,Search,Spain,1,19,5.26%,USD,6.27,6.27,0,0,0.00%
Competitive keywords,Enabled,Search,Sri Lanka,1,7,14.29%,USD,5.14,5.14,0,0,0.00%
Competitive keywords,Enabled,Search,Sweden,1,4,25.00%,USD,0.79,0.79,0,0,0.00%
Competitive keywords,Enabled,Search,United Arab Emirates,1,10,10.00%,USD,0.4,0.4,0,0,0.00%
Competitive keywords,Enabled,Search,Vietnam,1,10,10.00%,USD,0.35,0.35,0,0,0.00%
Performance Max,Enabled,Performance Max,Antigua and Barbuda,1,12,8.33%,USD,0.35,0.35,0,0,0.00%
Performance Max,Enabled,Performance Max,Bahrain,1,24,4.17%,USD,0.37,0.37,0,0,0.00%
Performance Max,Enabled,Performance Max,Belarus,1,51,1.96%,USD,0.3,0.3,0,0,0.00%
Performance Max,Enabled,Performance Max,Belize,1,16,6.25%,USD,2.99,2.99,0,0,0.00%
Performance Max,Enabled,Performance Max,Cayman Islands,1,19,5.26%,USD,4.78,4.78,0,0,0.00%
Performance Max,Enabled,Performance Max,Equatorial Guinea,1,1,100.00%,USD,1.39,1.39,0,0,0.00%
Performance Max,Enabled,Performance Max,Guam,1,8,12.50%,USD,0.49,0.49,0,0,0.00%
Performance Max,Enabled,Performance Max,Guinea,1,16,6.25%,USD,0.41,0.41,0,0,0.00%
Performance Max,Enabled,Performance Max,Guyana,1,28,3.57%,USD,0.48,0.48,0,0,0.00%
Performance Max,Enabled,Performance Max,Kazakhstan,1,50,2.00%,USD,0.23,0.23,0,0,0.00%
Performance Max,Enabled,Performance Max,Kyrgyzstan,1,29,3.45%,USD,0.74,0.74,0,0,0.00%
Performance Max,Enabled,Performance Max,Mauritius,1,17,5.88%,USD,0.47,0.47,0,0,0.00%
Performance Max,Enabled,Performance Max,North Macedonia,1,62,1.61%,USD,0.4,0.4,0,0,0.00%
Performance Max,Enabled,Performance Max,Oman,1,39,2.56%,USD,0.84,0.84,2,0.42,200.00%
Performance Max,Enabled,Performance Max,Palau,1,7,14.29%,USD,1.94,1.94,0,0,0.00%
Performance Max,Enabled,Performance Max,Paraguay,1,20,5.00%,USD,0.26,0.26,0,0,0.00%
Performance Max,Enabled,Performance Max,Puerto Rico,1,32,3.13%,USD,0.4,0.4,0,0,0.00%
Performance Max,Enabled,Performance Max,Reunion,1,31,3.23%,USD,2.51,2.51,0,0,0.00%
Performance Max,Enabled,Performance Max,Saint Kitts and Nevis,1,5,20.00%,USD,3.14,3.14,0,0,0.00%
Performance Max,Enabled,Performance Max,Sierra Leone,1,18,5.56%,USD,0.18,0.18,0,0,0.00%
Performance Max,Enabled,Performance Max,Sint Maarten,1,2,50.00%,USD,8.04,8.04,0,0,0.00%
Performance Max,Enabled,Performance Max,Togo,1,32,3.13%,USD,0.36,0.36,0,0,0.00%
Performance Max,Enabled,Performance Max,Turkmenistan,1,8,12.50%,USD,1.37,1.37,0,0,0.00%
Performance Max,Enabled,Performance Max,Zambia,1,19,5.26%,USD,0.12,0.12,0,0,0.00%
Performance Max,Enabled,Performance Max,Zimbabwe,1,19,5.26%,USD,0.7,0.7,0,0,0.00%
IOS English EU,Enabled,App,Afghanistan,1,11,9.09%,USD,0.29,0.29,0,0,0.00%
IOS English EU,Enabled,App,Argentina,1,45,2.22%,USD,0.49,0.49,0,0,0.00%
IOS English EU,Enabled,App,Bahrain,1,5,20.00%,USD,1.06,1.06,0,0,0.00%
IOS English EU,Enabled,App,Cambodia,1,32,3.13%,USD,0.21,0.21,0,0,0.00%
IOS English EU,Enabled,App,Cameroon,1,14,7.14%,USD,0.52,0.52,0,0,0.00%
IOS English EU,Enabled,App,Colombia,1,19,5.26%,USD,0.8,0.8,0,0,0.00%
IOS English EU,Enabled,App,Dominican Republic,1,23,4.35%,USD,0.51,0.51,0,0,0.00%
IOS English EU,Enabled,App,Ecuador,1,16,6.25%,USD,0.82,0.82,2,0.41,200.00%
IOS English EU,Enabled,App,Israel,1,22,4.55%,USD,0.76,0.76,0,0,0.00%
IOS English EU,Enabled,App,Latvia,1,17,5.88%,USD,0.73,0.73,0,0,0.00%
IOS English EU,Enabled,App,Mauritius,1,10,10.00%,USD,0.68,0.68,0,0,0.00%
IOS English EU,Enabled,App,Mexico,1,23,4.35%,USD,1.08,1.08,0,0,0.00%
IOS English EU,Enabled,App,New Zealand,1,30,3.33%,USD,0.39,0.39,0,0,0.00%
IOS English EU,Enabled,App,Oman,1,17,5.88%,USD,0.74,0.74,0,0,0.00%
IOS English EU,Enabled,App,Philippines,1,77,1.30%,USD,0.54,0.54,0,0,0.00%
IOS English EU,Enabled,App,Puerto Rico,1,1,100.00%,USD,0.95,0.95,0,0,0.00%
IOS English EU,Enabled,App,The Gambia,1,6,16.67%,USD,0.75,0.75,0,0,0.00%
IOS English EU,Enabled,App,Togo,1,3,33.33%,USD,0.35,0.35,0,0,0.00%
IOS English EU,Enabled,App,Uganda,1,24,4.17%,USD,1.67,1.67,0,0,0.00%
IOS English EU,Enabled,App,Western Sahara,1,2,50.00%,USD,1.03,1.03,1,1.03,100.00%
iOS Video Only,Enabled,App,Argentina,0,3,0.00%,USD,0,0,0,0,0.00%
iOS Video Only,Enabled,App,Austria,0,2,0.00%,USD,0,0,0,0,0
iOS Video Only,Enabled,App,France,0,17,0.00%,USD,0,0.13,0,0,0.00%
iOS Video Only,Enabled,App,Germany,0,6,0.00%,USD,0,0.05,0,0,0.00%
iOS Video Only,Enabled,App,Grenada,0,30,0.00%,USD,0,0.08,0,0,0.00%
iOS Video Only,Enabled,App,Italy,0,18,0.00%,USD,0,0.03,0,0,0.00%
iOS Video Only,Enabled,App,Latvia,0,13,0.00%,USD,0,0.01,0,0,0.00%
iOS Video Only,Enabled,App,Mexico,0,2,0.00%,USD,0,0.01,0,0,0
iOS Video Only,Enabled,App,Spain,0,33,0.00%,USD,0,0.03,0,0,0.00%
iOS Video Only,Enabled,App,Sweden,0,5,0.00%,USD,0,0,0,0,0.00%
iOS Video Only,Enabled,App,Turkiye,0,5,0.00%,USD,0,0,0,0,0
iOS Video Only,Enabled,App,United Kingdom,0,2,0.00%,USD,0,0.01,0,0,0.00%
iOS Video Only,Enabled,App,Vietnam,0,77,0.00%,USD,0,0.05,0,0,0.00%
Competitive keywords,Enabled,Search,Afghanistan,0,5,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Albania,0,3,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Algeria,0,3,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,American Samoa,0,4,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Angola,0,1,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Antigua and Barbuda,0,1,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Australia,0,4,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Austria,0,3,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Bahrain,0,2,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Belgium,0,2,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Belize,0,1,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Benin,0,3,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Bosnia and Herzegovina,0,1,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,British Virgin Islands,0,1,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Burkina Faso,0,1,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Cayman Islands,0,2,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Chile,0,4,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Costa Rica,0,7,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Cyprus,0,1,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Czechia,0,3,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Dominica,0,1,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Ecuador,0,5,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Ethiopia,0,6,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Finland,0,1,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Gabon,0,2,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Georgia,0,5,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Greece,0,5,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Guam,0,3,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Guatemala,0,5,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Honduras,0,1,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Hong Kong,0,11,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Hungary,0,2,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Iran,0,2,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Iraq,0,6,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Ireland,0,1,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Israel,0,8,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Japan,0,12,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Kazakhstan,0,3,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Kosovo,0,2,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Kuwait,0,1,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Kyrgyzstan,0,1,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Latvia,0,1,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Lithuania,0,2,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Maldives,0,4,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Mauritania,0,2,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Moldova,0,2,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Mongolia,0,1,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Mozambique,0,2,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Myanmar (Burma),0,16,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Nepal,0,1,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,New Zealand,0,2,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Nicaragua,0,3,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Niger,0,1,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Northern Mariana Islands,0,1,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Oman,0,2,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Palestine,0,1,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Panama,0,1,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Paraguay,0,1,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Peru,0,14,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Poland,0,13,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Portugal,0,6,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Romania,0,22,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Saint Lucia,0,1,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Serbia,0,3,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Singapore,0,6,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Slovenia,0,2,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,South Africa,0,8,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,South Korea,0,16,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Switzerland,0,3,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Taiwan,0,15,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Turkiye,0,32,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Turks and Caicos Islands,0,1,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Uganda,0,1,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Ukraine,0,15,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Uruguay,0,1,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Uzbekistan,0,4,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Venezuela,0,7,0.00%,USD,0,0,0,0,0
Competitive keywords,Enabled,Search,Zambia,0,3,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,American Samoa,0,2,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Anguilla,0,1,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Aruba,0,2,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Barbados,0,7,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Bermuda,0,10,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Bhutan,0,0,0,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Botswana,0,3,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,British Virgin Islands,0,5,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Brunei,0,7,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Burkina Faso,0,7,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Burundi,0,7,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Cabo Verde,0,3,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Central African Republic,0,1,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Cook Islands,0,2,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Djibouti,0,11,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,El Salvador,0,28,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Fiji,0,4,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,French Guiana,0,1,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Gabon,0,13,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Greenland,0,4,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Grenada,0,6,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Guernsey,0,3,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Iceland,0,24,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Isle of Man,0,9,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Jersey,0,2,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Kiribati,0,1,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Liberia,0,9,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Macao,0,10,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Malawi,0,3,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Maldives,0,30,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Mali,0,4,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Martinique,0,10,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Mauritania,0,7,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Micronesia,0,3,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Monaco,0,12,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Mozambique,0,12,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Namibia,0,3,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Niger,0,10,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Northern Mariana Islands,0,2,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Papua New Guinea,0,3,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Rwanda,0,11,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,"Saint Helena, Ascension and Tristan da Cunha",0,2,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Saint Lucia,0,6,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Saint Martin,0,1,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Saint Vincent and the Grenadines,0,6,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,San Marino,0,2,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Senegal,0,23,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,South Sudan,0,1,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Sudan,0,21,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Tajikistan,0,8,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,The Gambia,0,9,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Timor-Leste,0,2,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Trinidad and Tobago,0,11,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,U.S. Virgin Islands,0,6,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Vanuatu,0,5,0.00%,USD,0,0,0,0,0
Performance Max,Enabled,Performance Max,Yemen,0,13,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Andorra,0,1,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Angola,0,4,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Anguilla,0,1,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Antigua and Barbuda,0,2,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Bermuda,0,2,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Bolivia,0,4,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Bosnia and Herzegovina,0,42,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Botswana,0,2,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,British Virgin Islands,0,1,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Burkina Faso,0,11,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Cabo Verde,0,0,0,USD,0,0,0,0,0
IOS English EU,Enabled,App,Cayman Islands,0,2,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Chad,0,1,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Chile,0,1,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,China,0,34,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Costa Rica,0,6,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Democratic Republic of the Congo,0,13,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,El Salvador,0,1,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Equatorial Guinea,0,1,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,French Guiana,0,1,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Georgia,0,53,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Grenada,0,1,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Guadeloupe,0,1,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Guatemala,0,1,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Guinea,0,1,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Guinea-Bissau,0,1,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Guyana,0,1,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Honduras,0,1,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Hong Kong,0,23,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Iceland,0,4,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Isle of Man,0,1,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Jersey,0,1,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Kyrgyzstan,0,7,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Laos,0,5,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Liberia,0,1,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Libya,0,9,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Liechtenstein,0,1,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Malawi,0,4,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Mali,0,5,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Mauritania,0,4,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Moldova,0,27,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Montenegro,0,2,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Mozambique,0,7,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Namibia,0,2,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Niger,0,3,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Palestine,0,0,0,USD,0,0,0,0,0
IOS English EU,Enabled,App,Panama,0,4,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Paraguay,0,1,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Peru,0,4,0.00%,USD,0,0,0,0,0
